n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 4 0 10 1 8 
i 38 18 0 5 6 
i 17 5 1 0 7 
i 16 4 2 3 0 
i 0 4 38 17 16 
i 8 0 18 5 4 
i 26 10 0 1 2 
i 9 1 5 0 3 
i 24 8 6 7 0 
n {-1,2},{0,1} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,-1} {0,0},{1,0} 
i 0 6 19 41 20 
i 2 0 5 19 6 
i 11 1 0 6 7 
i 29 11 2 0 1 
i 12 2 3 5 0 
i 0 2 11 29 12 
i 6 0 1 11 2 
i 19 5 0 2 3 
i 41 19 6 0 5 
i 20 6 7 1 0 
i 0 8 9 25 24 
i 4 0 1 9 8 
i 17 5 0 8 7 
i 37 17 4 0 5 
i 16 4 3 1 0 
i 0 4 17 37 16 
i 8 0 5 17 4 
i 9 1 0 4 3 
i 25 9 8 0 1 
i 24 8 7 5 0 
n {-1,2},{0,1} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} {0,1},{1,1} 
i 0 6 19 20 21 
i 2 0 5 6 7 
i 11 1 0 7 8 
i 12 2 3 0 1 
i 13 3 4 5 0 
i 0 2 11 12 13 
i 6 0 1 2 3 
i 19 5 0 3 4 
i 20 6 7 0 5 
i 21 7 8 1 0 
i 0 8 9 24 23 
i 4 0 1 8 7 
i 17 5 0 7 6 
i 16 4 3 0 5 
i 15 3 2 1 0 
i 0 4 17 16 15 
i 8 0 5 4 3 
i 9 1 0 3 2 
i 24 8 7 0 1 
i 23 7 6 5 0 
n {-1,2},{0,1} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} {0,1},{1,2} 
i 0 6 19 20 22 
i 2 0 5 6 8 
i 11 1 0 7 9 
i 12 2 3 0 10 
i 14 4 17 18 0 
i 0 2 11 12 14 
i 6 0 1 2 4 
i 19 5 0 3 17 
i 20 6 7 0 18 
i 22 8 9 10 0 
i 0 8 9 24 22 
i 4 0 1 8 6 
i 17 5 0 7 19 
i 16 4 3 0 18 
i 14 2 11 10 0 
i 0 4 17 16 14 
i 8 0 5 4 2 
i 9 1 0 3 11 
i 24 8 7 0 10 
i 22 6 19 18 0 
n {-1,2},{0,1} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} {0,1},{0,2} 
i 0 6 19 20 7 
i 2 0 5 6 1 
i 11 1 0 7 10 
i 12 2 3 0 11 
i 3 5 18 19 0 
i 0 2 11 12 3 
i 6 0 1 2 5 
i 19 5 0 3 18 
i 20 6 7 0 19 
i 7 1 10 11 0 
i 0 8 9 24 7 
i 4 0 1 8 5 
i 17 5 0 7 18 
i 16 4 3 0 17 
i 3 1 10 9 0 
i 0 4 17 16 3 
i 8 0 5 4 1 
i 9 1 0 3 10 
i 24 8 7 0 9 
i 7 5 18 17 0 
n {-1,0},{0,1} {-1,2},{0,1} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 8 10 7 22 
i 4 0 2 5 6 
i 18 6 0 19 20 
i 3 1 11 0 7 
i 14 2 12 3 0 
i 0 4 18 3 14 
i 8 0 6 1 2 
i 10 2 0 11 12 
i 7 5 19 0 3 
i 22 6 20 7 0 
i 0 6 18 7 22 
i 2 0 4 1 8 
i 10 8 0 9 24 
i 3 5 17 0 7 
i 14 4 16 3 0 
i 0 2 10 3 14 
i 6 0 8 5 4 
i 18 4 0 17 16 
i 7 1 9 0 3 
i 22 8 24 7 0 
n {-1,2},{0,1} {-1,2},{0,3} {0,0},{0,1} {0,0},{1,0} {0,3},{1,3} 
i 0 6 8 19 20 23 
i 2 0 10 5 6 9 
i 4 18 0 39 40 7 
i 11 1 27 0 7 26 
i 12 2 28 3 0 27 
i 15 17 3 38 39 0 
i 0 2 4 11 12 15 
i 6 0 18 1 2 17 
i 8 10 0 27 28 3 
i 19 5 39 0 3 38 
i 20 6 40 7 0 39 
i 23 9 7 26 27 0 
i 0 8 6 9 24 21 
i 4 0 18 1 8 19 
i 2 10 0 27 26 7 
i 17 5 39 0 7 40 
i 16 4 38 3 0 39 
i 13 11 3 28 27 0 
i 0 4 2 17 16 13 
i 8 0 10 5 4 11 
i 6 18 0 39 38 3 
i 9 1 27 0 3 28 
i 24 8 26 7 0 27 
i 21 19 7 40 39 0 
n {-1,2},{0,1} {-1,2},{0,3} {0,0},{0,1} {0,0},{1,0} {0,3},{1,4} 
i 0 6 8 19 20 24 
i 2 0 10 5 6 26 
i 4 18 0 39 40 8 
i 11 1 27 0 7 51 
i 12 2 28 3 0 52 
i 16 38 4 67 68 0 
i 0 2 4 11 12 16 
i 6 0 18 1 2 38 
i 8 10 0 27 28 4 
i 19 5 39 0 3 67 
i 20 6 40 7 0 68 
i 24 26 8 51 52 0 
i 0 8 6 9 24 20 
i 4 0 18 1 8 40 
i 2 10 0 27 26 6 
i 17 5 39 0 7 69 
i 16 4 38 3 0 68 
i 12 28 2 53 52 0 
i 0 4 2 17 16 12 
i 8 0 10 5 4 28 
i 6 18 0 39 38 2 
i 9 1 27 0 3 53 
i 24 8 26 7 0 52 
i 20 40 6 69 68 0 
n {-1,2},{0,1} {-1,2},{0,3} {0,0},{0,1} {0,0},{1,0} {0,3},{0,4} 
i 0 6 8 19 20 9 
i 2 0 10 5 6 27 
i 4 18 0 39 40 1 
i 11 1 27 0 7 52 
i 12 2 28 3 0 53 
i 17 39 5 68 69 0 
i 0 2 4 11 12 17 
i 6 0 18 1 2 39 
i 8 10 0 27 28 5 
i 19 5 39 0 3 68 
i 20 6 40 7 0 69 
i 9 27 1 52 53 0 
i 0 8 6 9 24 19 
i 4 0 18 1 8 39 
i 2 10 0 27 26 5 
i 17 5 39 0 7 68 
i 16 4 38 3 0 67 
i 11 27 1 52 51 0 
i 0 4 2 17 16 11 
i 8 0 10 5 4 27 
i 6 18 0 39 38 1 
i 9 1 27 0 3 52 
i 24 8 26 7 0 51 
i 19 39 5 68 67 0 
n {-1,2},{0,1} {-1,2},{0,3} {-1,4},{0,3} {0,0},{0,1} {0,0},{1,0} 
i 0 6 8 10 19 20 
i 2 0 10 28 5 6 
i 4 18 0 2 39 40 
i 18 40 6 0 69 70 
i 11 1 27 53 0 7 
i 12 2 28 54 3 0 
i 0 2 4 18 11 12 
i 6 0 18 40 1 2 
i 8 10 0 6 27 28 
i 10 28 2 0 53 54 
i 19 5 39 69 0 3 
i 20 6 40 70 7 0 
i 0 8 6 18 9 24 
i 4 0 18 38 1 8 
i 2 10 0 4 27 26 
i 10 26 8 0 51 50 
i 17 5 39 67 0 7 
i 16 4 38 66 3 0 
i 0 4 2 10 17 16 
i 8 0 10 26 5 4 
i 6 18 0 8 39 38 
i 18 38 4 0 67 66 
i 9 1 27 51 0 3 
i 24 8 26 50 7 0 
n {-1,2},{0,1} {-1,2},{0,3} {0,0},{0,1} {0,0},{1,0} {0,2},{0,3} 
i 0 6 8 19 20 7 
i 2 0 10 5 6 1 
i 4 18 0 39 40 5 
i 11 1 27 0 7 10 
i 12 2 28 3 0 11 
i 3 5 1 18 19 0 
i 0 2 4 11 12 3 
i 6 0 18 1 2 5 
i 8 10 0 27 28 1 
i 19 5 39 0 3 18 
i 20 6 40 7 0 19 
i 7 1 5 10 11 0 
i 0 8 6 9 24 7 
i 4 0 18 1 8 5 
i 2 10 0 27 26 1 
i 17 5 39 0 7 18 
i 16 4 38 3 0 17 
i 3 1 5 10 9 0 
i 0 4 2 17 16 3 
i 8 0 10 5 4 1 
i 6 18 0 39 38 5 
i 9 1 27 0 3 10 
i 24 8 26 7 0 9 
i 7 5 1 18 17 0 
n {-1,2},{0,1} {-1,2},{0,3} {0,0},{0,1} {0,0},{1,0} {0,3},{1,2} 
i 0 6 8 19 20 22 
i 2 0 10 5 6 8 
i 4 18 0 39 40 6 
i 11 1 27 0 7 9 
i 12 2 28 3 0 10 
i 14 4 2 17 18 0 
i 0 2 4 11 12 14 
i 6 0 18 1 2 4 
i 8 10 0 27 28 2 
i 19 5 39 0 3 17 
i 20 6 40 7 0 18 
i 22 8 6 9 10 0 
i 0 8 6 9 24 22 
i 4 0 18 1 8 6 
i 2 10 0 27 26 8 
i 17 5 39 0 7 19 
i 16 4 38 3 0 18 
i 14 2 4 11 10 0 
i 0 4 2 17 16 14 
i 8 0 10 5 4 2 
i 6 18 0 39 38 4 
i 9 1 27 0 3 11 
i 24 8 26 7 0 10 
i 22 6 8 19 18 0 
n {-1,2},{-1,3} {-1,2},{0,1} {-1,3},{0,4} {0,0},{0,1} {0,0},{1,0} 
i 0 1 6 9 19 20 
i 5 0 19 8 40 41 
i 2 11 0 27 5 6 
i 17 4 39 0 68 69 
i 11 28 1 52 0 7 
i 12 29 2 53 3 0 
i 0 5 2 17 11 12 
i 1 0 11 4 28 29 
i 6 19 0 39 1 2 
i 9 8 27 0 52 53 
i 19 40 5 68 0 3 
i 20 41 6 69 7 0 
i 0 5 8 19 9 24 
i 1 0 9 6 26 25 
i 4 17 0 39 1 8 
i 11 2 27 0 52 51 
i 17 38 5 68 0 7 
i 16 37 4 67 3 0 
i 0 1 4 11 17 16 
i 5 0 17 2 38 37 
i 8 9 0 27 5 4 
i 19 6 39 0 68 67 
i 9 26 1 52 0 3 
i 24 25 8 51 7 0 
n {-1,2},{-1,3} {-1,2},{0,1} {-1,3},{-1,4} {0,0},{0,1} {0,0},{1,0} 
i 0 1 6 10 19 20 
i 5 0 19 1 40 41 
i 2 11 0 28 5 6 
i 18 5 40 0 69 70 
i 11 28 1 53 0 7 
i 12 29 2 54 3 0 
i 0 5 2 18 11 12 
i 1 0 11 5 28 29 
i 6 19 0 40 1 2 
i 10 1 28 0 53 54 
i 19 40 5 69 0 3 
i 20 41 6 70 7 0 
i 0 5 8 18 9 24 
i 1 0 9 5 26 25 
i 4 17 0 38 1 8 
i 10 1 26 0 51 50 
i 17 38 5 67 0 7 
i 16 37 4 66 3 0 
i 0 1 4 10 17 16 
i 5 0 17 1 38 37 
i 8 9 0 26 5 4 
i 18 5 38 0 67 66 
i 9 26 1 51 0 3 
i 24 25 8 50 7 0 
n {-2,4},{-1,3} {-1,2},{-1,3} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 19 41 70 71 
i 2 0 5 19 40 41 
i 11 1 0 6 19 20 
i 29 11 2 0 5 6 
i 54 28 11 1 0 7 
i 55 29 12 2 3 0 
i 0 2 11 29 54 55 
i 6 0 1 11 28 29 
i 19 5 0 2 11 12 
i 41 19 6 0 1 2 
i 70 40 19 5 0 3 
i 71 41 20 6 7 0 
i 0 8 9 25 50 49 
i 4 0 1 9 26 25 
i 17 5 0 8 9 24 
i 37 17 4 0 1 8 
i 66 38 17 5 0 7 
i 65 37 16 4 3 0 
i 0 4 17 37 66 65 
i 8 0 5 17 38 37 
i 9 1 0 4 17 16 
i 25 9 8 0 5 4 
i 50 26 9 1 0 3 
i 49 25 24 8 7 0 
n {-2,3},{-1,3} {-1,2},{-1,3} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 7 6 20 41 42 
i 3 0 5 19 40 41 
i 2 1 0 6 19 20 
i 12 11 2 0 5 6 
i 29 28 11 1 0 7 
i 30 29 12 2 3 0 
i 0 7 8 24 25 48 
i 3 0 1 9 26 25 
i 4 5 0 8 9 24 
i 16 17 4 0 1 8 
i 37 38 17 5 0 7 
i 36 37 16 4 3 0 
n {-2,2},{-1,3} {-1,2},{-1,3} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 8 7 21 20 43 
i 4 0 5 19 40 41 
i 3 1 0 6 19 20 
i 13 11 2 0 5 6 
i 12 28 11 1 0 7 
i 31 29 12 2 3 0 
i 0 4 3 13 12 31 
i 8 0 1 11 28 29 
i 7 5 0 2 11 12 
i 21 19 6 0 1 2 
i 20 40 19 5 0 3 
i 43 41 20 6 7 0 
i 0 6 7 23 24 47 
i 2 0 1 9 26 25 
i 3 5 0 8 9 24 
i 15 17 4 0 1 8 
i 16 38 17 5 0 7 
i 35 37 16 4 3 0 
i 0 2 3 15 16 35 
i 6 0 5 17 38 37 
i 7 1 0 4 17 16 
i 23 9 8 0 5 4 
i 24 26 9 1 0 3 
i 47 25 24 8 7 0 
n {-1,2},{-1,3} {-1,2},{0,1} {-1,3},{0,2} {0,0},{0,1} {0,0},{1,0} 
i 0 1 6 7 19 20 
i 5 0 19 6 40 41 
i 2 11 0 1 5 6 
i 3 2 5 0 18 19 
i 11 28 1 10 0 7 
i 12 29 2 11 3 0 
i 0 5 2 3 11 12 
i 1 0 11 2 28 29 
i 6 19 0 5 1 2 
i 7 6 1 0 10 11 
i 19 40 5 18 0 3 
i 20 41 6 19 7 0 
i 0 5 8 7 9 24 
i 1 0 9 8 26 25 
i 4 17 0 5 1 8 
i 3 4 1 0 10 9 
i 17 38 5 18 0 7 
i 16 37 4 17 3 0 
i 0 1 4 3 17 16 
i 5 0 17 4 38 37 
i 8 9 0 1 5 4 
i 7 8 5 0 18 17 
i 9 26 1 10 0 3 
i 24 25 8 9 7 0 
n {-2,3},{-1,2} {-2,3},{-1,4} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 8 20 41 42 
i 2 0 10 6 19 20 
i 4 18 0 40 69 70 
i 12 2 28 0 5 6 
i 29 11 53 1 0 7 
i 30 12 54 2 3 0 
i 0 2 4 12 29 30 
i 6 0 18 2 11 12 
i 8 10 0 28 53 54 
i 20 6 40 0 1 2 
i 41 19 69 5 0 3 
i 42 20 70 6 7 0 
i 0 8 6 24 25 48 
i 4 0 18 8 9 24 
i 2 10 0 26 51 50 
i 16 4 38 0 1 8 
i 37 17 67 5 0 7 
i 36 16 66 4 3 0 
i 0 4 2 16 37 36 
i 8 0 10 4 17 16 
i 6 18 0 38 67 66 
i 24 8 26 0 5 4 
i 25 9 51 1 0 3 
i 48 24 50 8 7 0 
n {-2,3},{-2,4} {-2,3},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 1 6 20 41 42 
i 5 0 19 41 70 71 
i 2 11 0 6 19 20 
i 12 29 2 0 5 6 
i 29 54 11 1 0 7 
i 30 55 12 2 3 0 
i 0 5 2 12 29 30 
i 1 0 11 29 54 55 
i 6 19 0 2 11 12 
i 20 41 6 0 1 2 
i 41 70 19 5 0 3 
i 42 71 20 6 7 0 
i 0 5 8 24 25 48 
i 1 0 9 25 50 49 
i 4 17 0 8 9 24 
i 16 37 4 0 1 8 
i 37 66 17 5 0 7 
i 36 65 16 4 3 0 
i 0 1 4 16 37 36 
i 5 0 17 37 66 65 
i 8 9 0 4 17 16 
i 24 25 8 0 5 4 
i 25 50 9 1 0 3 
i 48 49 24 8 7 0 
n {-3,4},{-2,3} {-2,3},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 20 42 71 72 
i 2 0 6 20 41 42 
i 12 2 0 6 19 20 
i 30 12 2 0 5 6 
i 55 29 11 1 0 7 
i 56 30 12 2 3 0 
i 0 2 12 30 55 56 
i 6 0 2 12 29 30 
i 20 6 0 2 11 12 
i 42 20 6 0 1 2 
i 71 41 19 5 0 3 
i 72 42 20 6 7 0 
i 0 8 24 48 49 80 
i 4 0 8 24 25 48 
i 16 4 0 8 9 24 
i 36 16 4 0 1 8 
i 65 37 17 5 0 7 
i 64 36 16 4 3 0 
i 0 4 16 36 65 64 
i 8 0 4 16 37 36 
i 24 8 0 4 17 16 
i 48 24 8 0 5 4 
i 49 25 9 1 0 3 
i 80 48 24 8 7 0 
n {-3,3},{-2,3} {-2,3},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 7 21 43 42 73 
i 3 0 6 20 41 42 
i 13 2 0 6 19 20 
i 31 12 2 0 5 6 
i 30 29 11 1 0 7 
i 57 30 12 2 3 0 
i 0 3 13 31 30 57 
i 7 0 2 12 29 30 
i 21 6 0 2 11 12 
i 43 20 6 0 1 2 
i 42 41 19 5 0 3 
i 73 42 20 6 7 0 
i 0 7 23 47 48 79 
i 3 0 8 24 25 48 
i 15 4 0 8 9 24 
i 35 16 4 0 1 8 
i 36 37 17 5 0 7 
i 63 36 16 4 3 0 
i 0 3 15 35 36 63 
i 7 0 4 16 37 36 
i 23 8 0 4 17 16 
i 47 24 8 0 5 4 
i 48 25 9 1 0 3 
i 79 48 24 8 7 0 
n {-3,2},{-2,3} {-2,3},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 8 22 44 43 74 
i 4 0 6 20 41 42 
i 14 2 0 6 19 20 
i 32 12 2 0 5 6 
i 31 29 11 1 0 7 
i 58 30 12 2 3 0 
i 0 4 14 32 31 58 
i 8 0 2 12 29 30 
i 22 6 0 2 11 12 
i 44 20 6 0 1 2 
i 43 41 19 5 0 3 
i 74 42 20 6 7 0 
i 0 6 22 46 47 78 
i 2 0 8 24 25 48 
i 14 4 0 8 9 24 
i 34 16 4 0 1 8 
i 35 37 17 5 0 7 
i 62 36 16 4 3 0 
i 0 2 14 34 35 62 
i 6 0 4 16 37 36 
i 22 8 0 4 17 16 
i 46 24 8 0 5 4 
i 47 25 9 1 0 3 
i 78 48 24 8 7 0 
n {-2,2},{-2,3} {-2,3},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 1 7 21 20 43 
i 5 0 6 20 41 42 
i 3 2 0 6 19 20 
i 13 12 2 0 5 6 
i 12 29 11 1 0 7 
i 31 30 12 2 3 0 
i 0 5 3 13 12 31 
i 1 0 2 12 29 30 
i 7 6 0 2 11 12 
i 21 20 6 0 1 2 
i 20 41 19 5 0 3 
i 43 42 20 6 7 0 
i 0 5 7 23 24 47 
i 1 0 8 24 25 48 
i 3 4 0 8 9 24 
i 15 16 4 0 1 8 
i 16 37 17 5 0 7 
i 35 36 16 4 3 0 
i 0 1 3 15 16 35 
i 5 0 4 16 37 36 
i 7 8 0 4 17 16 
i 23 24 8 0 5 4 
i 24 25 9 1 0 3 
i 47 48 24 8 7 0 
n {-3,3},{-2,2} {-2,2},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 21 43 42 73 
i 2 0 7 21 20 43 
i 13 3 0 6 19 20 
i 31 13 2 0 5 6 
i 30 12 11 1 0 7 
i 57 31 12 2 3 0 
i 0 2 13 31 30 57 
i 6 0 3 13 12 31 
i 21 7 0 2 11 12 
i 43 21 6 0 1 2 
i 42 20 19 5 0 3 
i 73 43 20 6 7 0 
i 0 8 23 47 48 79 
i 4 0 7 23 24 47 
i 15 3 0 8 9 24 
i 35 15 4 0 1 8 
i 36 16 17 5 0 7 
i 63 35 16 4 3 0 
i 0 4 15 35 36 63 
i 8 0 3 15 16 35 
i 23 7 0 4 17 16 
i 47 23 8 0 5 4 
i 48 24 9 1 0 3 
i 79 47 24 8 7 0 
n {-3,2},{-2,2} {-2,2},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 7 22 44 43 74 
i 3 0 7 21 20 43 
i 14 3 0 6 19 20 
i 32 13 2 0 5 6 
i 31 12 11 1 0 7 
i 58 31 12 2 3 0 
i 0 3 14 32 31 58 
i 7 0 3 13 12 31 
i 22 7 0 2 11 12 
i 44 21 6 0 1 2 
i 43 20 19 5 0 3 
i 74 43 20 6 7 0 
i 0 7 22 46 47 78 
i 3 0 7 23 24 47 
i 14 3 0 8 9 24 
i 34 15 4 0 1 8 
i 35 16 17 5 0 7 
i 62 35 16 4 3 0 
i 0 3 14 34 35 62 
i 7 0 3 15 16 35 
i 22 7 0 4 17 16 
i 46 23 8 0 5 4 
i 47 24 9 1 0 3 
i 78 47 24 8 7 0 
n {-3,1},{-2,2} {-2,2},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 8 23 45 44 75 
i 4 0 7 21 20 43 
i 15 3 0 6 19 20 
i 33 13 2 0 5 6 
i 32 12 11 1 0 7 
i 59 31 12 2 3 0 
i 0 4 15 33 32 59 
i 8 0 3 13 12 31 
i 23 7 0 2 11 12 
i 45 21 6 0 1 2 
i 44 20 19 5 0 3 
i 75 43 20 6 7 0 
i 0 6 21 45 46 77 
i 2 0 7 23 24 47 
i 13 3 0 8 9 24 
i 33 15 4 0 1 8 
i 34 16 17 5 0 7 
i 61 35 16 4 3 0 
i 0 2 13 33 34 61 
i 6 0 3 15 16 35 
i 21 7 0 4 17 16 
i 45 23 8 0 5 4 
i 46 24 9 1 0 3 
i 77 47 24 8 7 0 
n {-2,1},{-2,2} {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 1 8 22 21 44 
i 5 0 7 21 20 43 
i 4 3 0 6 19 20 
i 14 13 2 0 5 6 
i 13 12 11 1 0 7 
i 32 31 12 2 3 0 
i 0 5 4 14 13 32 
i 1 0 3 13 12 31 
i 8 7 0 2 11 12 
i 22 21 6 0 1 2 
i 21 20 19 5 0 3 
i 44 43 20 6 7 0 
i 0 5 6 22 23 46 
i 1 0 7 23 24 47 
i 2 3 0 8 9 24 
i 14 15 4 0 1 8 
i 15 16 17 5 0 7 
i 34 35 16 4 3 0 
i 0 1 2 14 15 34 
i 5 0 3 15 16 35 
i 6 7 0 4 17 16 
i 22 23 8 0 5 4 
i 23 24 9 1 0 3 
i 46 47 24 8 7 0 
n {-3,2},{-2,1} {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 22 44 43 74 
i 2 0 8 22 21 44 
i 14 4 0 6 19 20 
i 32 14 2 0 5 6 
i 31 13 11 1 0 7 
i 58 32 12 2 3 0 
i 0 2 14 32 31 58 
i 6 0 4 14 13 32 
i 22 8 0 2 11 12 
i 44 22 6 0 1 2 
i 43 21 19 5 0 3 
i 74 44 20 6 7 0 
i 0 8 22 46 47 78 
i 4 0 6 22 23 46 
i 14 2 0 8 9 24 
i 34 14 4 0 1 8 
i 35 15 17 5 0 7 
i 62 34 16 4 3 0 
i 0 4 14 34 35 62 
i 8 0 2 14 15 34 
i 22 6 0 4 17 16 
i 46 22 8 0 5 4 
i 47 23 9 1 0 3 
i 78 46 24 8 7 0 
n {-3,1},{-2,1} {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 7 23 45 44 75 
i 3 0 8 22 21 44 
i 15 4 0 6 19 20 
i 33 14 2 0 5 6 
i 32 13 11 1 0 7 
i 59 32 12 2 3 0 
i 0 3 15 33 32 59 
i 7 0 4 14 13 32 
i 23 8 0 2 11 12 
i 45 22 6 0 1 2 
i 44 21 19 5 0 3 
i 75 44 20 6 7 0 
i 0 7 21 45 46 77 
i 3 0 6 22 23 46 
i 13 2 0 8 9 24 
i 33 14 4 0 1 8 
i 34 15 17 5 0 7 
i 61 34 16 4 3 0 
i 0 3 13 33 34 61 
i 7 0 2 14 15 34 
i 21 6 0 4 17 16 
i 45 22 8 0 5 4 
i 46 23 9 1 0 3 
i 77 46 24 8 7 0 
n {-3,0},{-2,1} {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 8 24 46 45 76 
i 4 0 8 22 21 44 
i 16 4 0 6 19 20 
i 34 14 2 0 5 6 
i 33 13 11 1 0 7 
i 60 32 12 2 3 0 
i 0 4 16 34 33 60 
i 8 0 4 14 13 32 
i 24 8 0 2 11 12 
i 46 22 6 0 1 2 
i 45 21 19 5 0 3 
i 76 44 20 6 7 0 
i 0 6 20 44 45 76 
i 2 0 6 22 23 46 
i 12 2 0 8 9 24 
i 32 14 4 0 1 8 
i 33 15 17 5 0 7 
i 60 34 16 4 3 0 
i 0 2 12 32 33 60 
i 6 0 2 14 15 34 
i 20 6 0 4 17 16 
i 44 22 8 0 5 4 
i 45 23 9 1 0 3 
i 76 46 24 8 7 0 
n {-2,0},{-2,1} {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 1 9 23 22 45 
i 5 0 8 22 21 44 
i 17 4 0 6 19 20 
i 15 14 2 0 5 6 
i 14 13 11 1 0 7 
i 33 32 12 2 3 0 
i 0 5 17 15 14 33 
i 1 0 4 14 13 32 
i 9 8 0 2 11 12 
i 23 22 6 0 1 2 
i 22 21 19 5 0 3 
i 45 44 20 6 7 0 
i 0 5 19 21 22 45 
i 1 0 6 22 23 46 
i 11 2 0 8 9 24 
i 13 14 4 0 1 8 
i 14 15 17 5 0 7 
i 33 34 16 4 3 0 
i 0 1 11 13 14 33 
i 5 0 2 14 15 34 
i 19 6 0 4 17 16 
i 21 22 8 0 5 4 
i 22 23 9 1 0 3 
i 45 46 24 8 7 0 
n {-2,1},{-1,0} {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 8 22 21 44 
i 2 0 10 8 7 22 
i 4 18 0 6 19 20 
i 14 4 2 0 5 6 
i 13 3 11 1 0 7 
i 32 14 12 2 3 0 
i 0 2 4 14 13 32 
i 6 0 18 4 3 14 
i 8 10 0 2 11 12 
i 22 8 6 0 1 2 
i 21 7 19 5 0 3 
i 44 22 20 6 7 0 
i 0 8 6 22 23 46 
i 4 0 18 6 7 22 
i 2 10 0 8 9 24 
i 14 2 4 0 1 8 
i 15 3 17 5 0 7 
i 34 14 16 4 3 0 
i 0 4 2 14 15 34 
i 8 0 10 2 3 14 
i 6 18 0 4 17 16 
i 22 6 8 0 5 4 
i 23 7 9 1 0 3 
i 46 22 24 8 7 0 
n {-1,1},{-1,2} {-1,1},{0,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 1 8 7 6 21 
i 5 0 7 6 19 20 
i 4 3 0 5 18 19 
i 3 2 1 0 5 6 
i 2 11 10 1 0 7 
i 13 12 11 2 3 0 
i 0 5 4 3 2 13 
i 1 0 3 2 11 12 
i 8 7 0 1 10 11 
i 7 6 5 0 1 2 
i 6 19 18 5 0 3 
i 21 20 19 6 7 0 
i 0 5 6 7 8 23 
i 1 0 7 8 9 24 
i 2 3 0 1 10 9 
i 3 4 5 0 1 8 
i 4 17 18 5 0 7 
i 15 16 17 4 3 0 
i 0 1 2 3 4 15 
i 5 0 3 4 17 16 
i 6 7 0 5 18 17 
i 7 8 1 0 5 4 
i 8 9 10 1 0 3 
i 23 24 9 8 7 0 
n {-2,2},{-1,1} {-1,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 6 7 21 20 43 
i 2 0 1 7 6 21 
i 3 5 0 6 19 20 
i 13 3 2 0 5 6 
i 12 2 11 1 0 7 
i 31 13 12 2 3 0 
i 0 2 3 13 12 31 
i 6 0 5 3 2 13 
i 7 1 0 2 11 12 
i 21 7 6 0 1 2 
i 20 6 19 5 0 3 
i 43 21 20 6 7 0 
i 0 8 7 23 24 47 
i 4 0 5 7 8 23 
i 3 1 0 8 9 24 
i 15 3 4 0 1 8 
i 16 4 17 5 0 7 
i 35 15 16 4 3 0 
i 0 4 3 15 16 35 
i 8 0 1 3 4 15 
i 7 5 0 4 17 16 
i 23 7 8 0 5 4 
i 24 8 9 1 0 3 
i 47 23 24 8 7 0 
n {-2,1},{-1,1} {-1,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} 
i 0 7 8 22 21 44 
i 3 0 1 7 6 21 
i 4 5 0 6 19 20 
i 14 3 2 0 5 6 
i 13 2 11 1 0 7 
i 32 13 12 2 3 0 
i 0 3 4 14 13 32 
i 7 0 5 3 2 13 
i 8 1 0 2 11 12 
i 22 7 6 0 1 2 
i 21 6 19 5 0 3 
i 44 21 20 6 7 0 
i 0 7 6 22 23 46 
i 3 0 5 7 8 23 
i 2 1 0 8 9 24 
i 14 3 4 0 1 8 
i 15 4 17 5 0 7 
i 34 15 16 4 3 0 
