n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 21 6 5 0 4 
i 45 22 7 8 0 
n {-1,0},{0,0} {-1,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 8 22 23 
i 3 0 1 7 8 
i 4 5 0 6 7 
i 14 3 2 0 1 
i 15 4 3 5 0 
i 0 3 4 14 15 
i 7 0 5 3 4 
i 8 1 0 2 3 
i 22 7 6 0 5 
i 23 8 7 1 0 
i 0 7 6 22 21 
i 3 0 5 7 6 
i 2 1 0 8 7 
i 14 3 4 0 5 
i 13 2 3 1 0 
i 0 3 2 14 13 
i 7 0 1 3 2 
i 6 5 0 4 3 
i 22 7 8 0 1 
i 21 6 7 5 0 
n {-1,0},{-1,1} {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 7 22 23 
i 5 0 6 21 22 
i 3 2 0 7 8 
i 14 13 3 0 1 
i 15 14 4 5 0 
i 0 5 3 14 15 
i 1 0 2 13 14 
i 7 6 0 3 4 
i 22 21 7 0 5 
i 23 22 8 1 0 
i 0 5 7 22 21 
i 1 0 8 23 22 
i 3 4 0 7 6 
i 14 15 3 0 5 
i 13 14 2 1 0 
i 0 1 3 14 13 
i 5 0 4 15 14 
i 7 8 0 3 2 
i 22 23 7 0 1 
i 21 22 6 5 0 
n {-2,1},{-1,0} {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 21 44 45 
i 2 0 7 22 23 
i 13 3 0 7 8 
i 32 14 3 0 1 
i 33 15 4 5 0 
i 0 2 13 32 33 
i 6 0 3 14 15 
i 21 7 0 3 4 
i 44 22 7 0 5 
i 45 23 8 1 0 
i 0 8 23 46 45 
i 4 0 7 22 21 
i 15 3 0 7 6 
i 34 14 3 0 5 
i 33 13 2 1 0 
i 0 4 15 34 33 
i 8 0 3 14 13 
i 23 7 0 3 2 
i 46 22 7 0 1 
i 45 21 6 5 0 
n {-2,0},{-1,0} {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 22 45 46 
i 3 0 7 22 23 
i 14 3 0 7 8 
i 33 14 3 0 1 
i 34 15 4 5 0 
i 0 3 14 33 34 
i 7 0 3 14 15 
i 22 7 0 3 4 
i 45 22 7 0 5 
i 46 23 8 1 0 
i 0 7 22 45 44 
i 3 0 7 22 21 
i 14 3 0 7 6 
i 33 14 3 0 5 
i 32 13 2 1 0 
i 0 3 14 33 32 
i 7 0 3 14 13 
i 22 7 0 3 2 
i 45 22 7 0 1 
i 44 21 6 5 0 
n {-2,-1},{-1,0} {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 8 23 46 47 
i 4 0 7 22 23 
i 15 3 0 7 8 
i 34 14 3 0 1 
i 35 15 4 5 0 
i 0 4 15 34 35 
i 8 0 3 14 15 
i 23 7 0 3 4 
i 46 22 7 0 5 
i 47 23 8 1 0 
i 0 6 21 44 43 
i 2 0 7 22 21 
i 13 3 0 7 6 
i 32 14 3 0 5 
i 31 13 2 1 0 
i 0 2 13 32 31 
i 6 0 3 14 13 
i 21 7 0 3 2 
i 44 22 7 0 1 
i 43 21 6 5 0 
n {-1,-1},{-1,0} {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 8 23 24 
i 5 0 7 22 23 
i 4 3 0 7 8 
i 15 14 3 0 1 
i 16 15 4 5 0 
i 0 5 4 15 16 
i 1 0 3 14 15 
i 8 7 0 3 4 
i 23 22 7 0 5 
i 24 23 8 1 0 
i 0 5 6 21 20 
i 1 0 7 22 21 
i 2 3 0 7 6 
i 13 14 3 0 5 
i 12 13 2 1 0 
i 0 1 2 13 12 
i 5 0 3 14 13 
i 6 7 0 3 2 
i 21 22 7 0 1 
i 20 21 6 5 0 
n {-1,0},{0,-1} {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 7 22 23 
i 2 0 1 8 9 
i 3 5 0 7 8 
i 14 4 3 0 1 
i 15 17 4 5 0 
i 0 2 3 14 15 
i 6 0 5 4 17 
i 7 1 0 3 4 
i 22 8 7 0 5 
i 23 9 8 1 0 
i 0 8 7 22 21 
i 4 0 5 6 19 
i 3 1 0 7 6 
i 14 2 3 0 5 
i 13 11 2 1 0 
i 0 4 3 14 13 
i 8 0 1 2 11 
i 7 5 0 3 2 
i 22 6 7 0 1 
i 21 19 6 5 0 
n {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
